frame,time_from_start_s,timestamp_quality,frame_id,length_unit,coordinate_domain,robot_execution_ready,x,y,z,qx,qy,qz,qw
0,0.0,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-1.0842021724855044e-19,0.0,0.0,-1.070338593107373e-22,4.920572731064049e-21,-2.14058922882039e-20,1.0
1,0.033333,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.0011953760828847288,0.0012008277595416874,0.002258825777477112,-0.0001433748037265239,-0.0001545362093208791,-3.530626301354382e-05,0.9999999771578465
2,0.066667,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.0029175927447288885,0.00209879615311832,0.0040721580003122955,-0.00034127373394201926,-0.00020819818787951933,6.393241393560767e-05,0.9999999180491964
3,0.1,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.005338070251805267,0.002966838318359881,0.005110147984728319,-0.0004664034228103827,-0.00019975309135035469,1.4009170310358063e-05,0.9999998711851382
4,0.133333,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.008152450201492687,0.0037767446097236334,0.005977571716092749,-0.0005799597932173361,-0.0001789321659880835,-0.00010488651362616491,0.9999998103143508
5,0.166667,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.011157048275902111,0.0040083372541128036,0.008974999444754677,-0.0006701172897276706,-0.00015600477589312243,-0.00017121827529725412,0.9999997486447836
6,0.2,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.013090221087297465,0.0032295059133487947,0.013103334909822897,-0.0008714113230419458,-0.0001929040841504016,-0.00012078239319288847,0.9999995944208847
7,0.233333,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.013281099485854764,0.002470867990952619,0.016723356894725767,-0.0010298307809092798,-5.09966395860544e-05,-9.092322476592709e-05,0.9999994642902928
8,0.266667,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.012268097207133408,0.001474314834119035,0.02049199900856493,-0.0011870512414798875,9.435314498838861e-05,1.9601383855652546e-05,0.9999992908110585
9,0.3,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.01090552019087361,-0.0004886399633537073,0.025201265476624518,-0.0014690581786297643,0.000346219496839848,0.00026614386216617785,0.9999988255830966
10,0.333333,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.008725937267611093,-0.003257738436556126,0.03063236264683569,-0.0017425310828667125,0.0005427587437294919,0.0005870740176255529,0.9999981621695457
11,0.366667,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.005931122376211743,-0.0065114694127735885,0.037676830871709234,-0.0019443976567144327,0.0007562308588717514,0.001026099625529341,0.9999972972724472
12,0.4,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.0033142817701840104,-0.011075317496380108,0.04479557347695324,-0.0022189522790674685,0.0010092589206402245,0.0014451149652558194,0.9999959846369142
13,0.433333,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.0009527726050841497,-0.015463858436687718,0.05441555044405916,-0.0024050881305788872,0.00136207191489679,0.001907325163661439,0.9999943611950534
14,0.466667,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,0.00047856973870388385,-0.019825962475408222,0.0642157909867637,-0.0026234039530248767,0.0017054178595219908,0.0022288816489775994,0.999992620666882
15,0.5,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,0.002123875076594138,-0.023701679546480937,0.07562835694707112,-0.002820063127630181,0.002007128553319941,0.0025640481268476936,0.9999907221250255
16,0.533333,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,0.003800410332126469,-0.027288979104541637,0.08800187495210963,-0.003125198091534596,0.0024511757357015083,0.00290273326724361,0.9999878994337784
17,0.566667,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,0.0046825063869316156,-0.03069392639406209,0.10288526689103546,-0.003334846798722964,0.002949292123110055,0.0030493739616096476,0.9999854407896367
18,0.6,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,0.004492678170608496,-0.03401149102072762,0.12018897310084253,-0.003578038113501976,0.0034823248424451303,0.003248007572694075,0.9999822605945357
19,0.633333,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,0.0032274001456622002,-0.036879129011885,0.13952468615952238,-0.0037644384199737126,0.003990886338107509,0.00317110214656671,0.9999799227688496
20,0.666667,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,0.0011346057060117884,-0.03959226417712163,0.16075984024273762,-0.004036790641039418,0.004569349392666305,0.0033171245263143145,0.9999759107360162
21,0.7,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.0017166702761136489,-0.0417531030234863,0.1844725295277124,-0.004194513482268084,0.0051305018993352694,0.0032465555976751814,0.999972771571136
22,0.733333,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.005469108617662556,-0.04406204008975439,0.21045563889410088,-0.004333947459267198,0.005674753905221504,0.003167227972784186,0.9999694909018495
23,0.766667,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.010354525376574383,-0.04676481835221017,0.23783208128990815,-0.004625310409576899,0.0061142949967430285,0.003100380773617686,0.9999658041850064
24,0.8,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.015509882069106183,-0.04952610232026048,0.2662094496831267,-0.004866359407499212,0.00662601995853389,0.003473842012375854,0.9999601726205396
25,0.833333,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.021022777325354586,-0.053091104099986026,0.29437261977327106,-0.005243148332199737,0.007200892364318447,0.004020324834129169,0.999952245626236
26,0.866667,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.026312397050134367,-0.05711636264081273,0.3224357557096394,-0.005513112489676893,0.007793319943140322,0.004527303276517602,0.9999441850823387
27,0.9,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.030176123384551154,-0.06105790110536443,0.35005252764733563,-0.005855847459288761,0.008492553275040554,0.00535829565679008,0.9999324348460044
28,0.933333,source_frame_pts,reconstruction_camera0,reconstruction_unit,camera_reconstruction,False,-0.03283770937592261,-0.06448428664630998,0.3776003432938859,-0.00610607975514419,0.009333110748813786,0.0058659704975734545,0.9999205964594869
